symbol,date,ref_entry,our_entry,entry_ok,ref_exit,our_exit,exit_ok,ref_reason,our_reason,reason_ok,ref_net,our_net,net_diff
0GUSDT,2025-10-01,2.7301,2.7301,True,2.5471,2.5471,True,TIME_EXIT,TIME_EXIT,True,44.31070204185133,44.161181702868134,-0.14952033898319428
0GUSDT,2025-10-06,3.0536,3.0536,True,2.89457,2.89457,True,TP,TP,True,40.96166482836259,40.92415270631386,-0.037512122048731555
0GUSDT,2025-10-21,2.1122,2.1122,True,1.95479,1.95479,True,TP,TP,True,57.52278640899061,56.858912784774205,-0.6638736242164072
0GUSDT,2025-11-08,1.2844,1.2844,True,1.451372,1.4513719999999999,True,SL,SL,True,-140.13659915351218,-139.80294999999992,0.33364915351225477
0GUSDT,2025-12-25,0.8526,0.8526,True,0.963438,0.9634379999999999,True,SL,SL,True,-132.58626399366642,-135.17628999999985,-2.5900260063334315
0GUSDT,2026-02-20,0.649,0.649,True,0.6787,0.6787,True,TIME_EXIT,TIME_EXIT,True,-61.393679539933814,-60.5224218644067,0.8712576755271115
0GUSDT,2026-04-08,0.5476,0.5476,True,0.53005,0.53005,True,TP,TP,True,28.89525988361031,28.871560832724533,-0.02369905088577795
AERGOUSDT,2025-06-10,0.12158,0.12158,True,0.1175119999999999,0.11751199999999999,True,TP,TP,True,31.170101119427557,30.673570567527573,-0.4965305518999834
AERGOUSDT,2025-06-12,0.11959,0.11959,True,0.115702,0.115702,True,TP,TP,True,27.758980066188663,23.401089521699156,-4.357890544489507
AERGOUSDT,2025-09-08,0.11124,0.11124,True,0.1111,0.1111,True,TIME_EXIT,TIME_EXIT,True,1.2800917654584898,1.279690093491561,-0.00040167196692886264
AERGOUSDT,2026-01-01,0.06072,0.06072,True,0.0686136,0.0686136,True,SL,SL,True,-136.49059977272717,-137.4902699999999,-0.9996702272727305
AERGOUSDT,2026-01-04,0.06666,0.06666,True,0.064032,0.064032,True,TP,TP,True,36.60913046495636,36.1877123942393,-0.42141807071705983
AERGOUSDT,2026-01-21,0.06676,0.06676,True,0.0625,0.0625,True,TIME_EXIT,TIME_EXIT,True,41.88637526817257,41.98579506890354,0.09941980073097056
AGLDUSDT,2026-02-21,0.2346,0.2346,True,0.265098,0.265098,True,SL,SL,True,-131.06994306441942,-131.07395999999997,-0.004016935580551717
AKTUSDT,2025-06-03,1.367,1.367,True,1.335,1.335,True,TIME_EXIT,TIME_EXIT,True,23.060320543891756,23.058924652523796,-0.0013958913679594787
AKTUSDT,2025-07-13,1.354,1.354,True,1.3117,1.3116999999999999,True,TP,TP,True,30.066544757848764,30.06887809453488,0.002333336686117349
AKTUSDT,2025-08-14,1.435,1.435,True,1.3576,1.3576,True,TP,TP,True,53.32495133763076,53.32618222996525,0.0012308923344903633
AKTUSDT,2026-01-27,0.4796,0.4796,True,0.44612,0.44612,True,TP,TP,True,59.30928140975294,59.25895347789827,-0.050327931854674546
AKTUSDT,2026-02-20,0.3535,0.3535,True,0.3218,0.3218,True,TIME_EXIT,TIME_EXIT,True,82.92919571379775,82.4800717538897,-0.4491239599080501
ANIMEUSDT,2025-12-20,0.005994,0.005994,True,0.00677322,0.00677322,True,SL,SL,True,-133.39807262595923,-133.39633999999995,0.0017326259592778115
ANIMEUSDT,2026-03-13,0.004768,0.004768,True,0.0046159,0.0046159,True,TP,TP,True,29.641004358577938,29.639257785234825,-0.0017465733431123454
ANIMEUSDT,2026-03-17,0.006432,0.006432,True,0.005135,0.005135,True,TIME_EXIT,TIME_EXIT,True,140.17734969457413,138.9083099502488,-1.2690397443253403
ANIMEUSDT,2026-03-21,0.005144,0.005144,True,0.005079,0.005079,True,TIME_EXIT,TIME_EXIT,True,-1.967970601769094,-2.0565091290824373,-0.08853852731334322
ANKRUSDT,2026-03-06,0.004785,0.004785,True,0.004346,0.004346,True,TIME_EXIT,TIME_EXIT,True,74.5433984760502,73.88817657262281,-0.655221903427389
ANKRUSDT,2026-03-18,0.005691,0.005691,True,0.0048188999999999,0.004818899999999999,True,TP,TP,True,108.59409953475677,108.2948709910386,-0.2992285437181721
ANKRUSDT,2026-03-21,0.006017,0.006017,True,0.005511,0.005511,True,TIME_EXIT,TIME_EXIT,True,59.258364727189566,57.9095539853747,-1.3488107418148658
ANKRUSDT,2026-04-04,0.005201,0.005201,True,0.005178,0.005178,True,TIME_EXIT,TIME_EXIT,True,0.0301871029416921,0.025396494904746537,-0.004790608036945563
ANKRUSDT,2026-05-06,0.005274,0.005274,True,0.0049941,0.0049941000000000004,True,TP,TP,True,52.27167235494873,46.56793235494873,-5.703739999999996
API3USDT,2025-12-21,0.4649,0.4649,True,0.4163,0.4163,True,TP,TP,True,95.97876778833027,95.806240453861,-0.17252733446927948
API3USDT,2025-12-26,0.4668,0.4668,True,0.4642,0.4642,True,TIME_EXIT,TIME_EXIT,True,3.3816956903152313,3.3536871893744453,-0.028008500940785996
API3USDT,2026-02-07,0.369,0.369,True,0.31932,0.31932000000000005,True,TP,TP,True,100.4394845409459,98.5042863414633,-1.935198199482599
API3USDT,2026-02-26,0.3128,0.3128,True,0.29903,0.29903,True,TP,TP,True,42.59411697250642,38.85123913043479,-3.7428778420716284
API3USDT,2026-04-25,0.4882,0.4882,True,0.37021,0.37021,True,TP,TP,True,225.6475272521066,224.72123617369937,-0.926291078407246
