token,date,vp,gp,pp,entry_ms,exit_ms,reason,net
0G,2025-10-21,50,50,17,1761019200000,1761053819999,TP,78.42034821911174
0G,2025-11-08,48,50,21,1762574400000,1762581839999,SL,-140.1581251429201
0G,2025-12-25,50,50,9,1766635200000,1766662739999,SL,-132.641853134402
AERGO,2025-05-03,50,50,17,1746244800000,1746367200000,TIME,81.94059520874985
AERGO,2025-05-24,47,50,6,1748059200000,1748181600000,TIME,-109.5263503049899
AERGO,2025-06-10,41,50,5,1749528000000,1749606719999,TP,30.263024371831264
AERGO,2025-09-08,50,50,6,1757304000000,1757426400000,TIME,0.2816257625398578
AKT,2025-03-11,50,50,43,1741665600000,1741751339999,SL,-135.67755274363842
AKT,2025-03-24,50,50,16,1742788800000,1742911200000,TIME,31.355993518847914
AKT,2025-06-03,50,50,9,1748923200000,1749045600000,TIME,22.092250514430855
AKT,2025-07-13,50,50,22,1752379200000,1752455459999,TP,37.14007846842186
AKT,2025-08-14,49,50,5,1755144000000,1755174899999,TP,54.28659705822361
ANIME,2025-12-20,50,50,16,1766203200000,1766213699999,SL,-133.43967123635215
API3,2025-10-13,45,50,13,1760328000000,1760331839999,TP,34.06010719645532
API3,2025-12-21,50,50,21,1766289600000,1766325179999,TP,93.71271820577857
API3,2025-12-26,50,50,17,1766721600000,1766844000000,TIME,2.3890548916275605
ARK,2025-04-06,50,50,11,1743912000000,1743925739999,SL,-130.85199999999992
ARK,2025-04-20,48,50,19,1745121600000,1745244000000,TIME,92.32854955622875
ARK,2025-07-20,50,50,14,1752984000000,1753106400000,TIME,52.69568847620863
ARK,2025-09-14,50,50,9,1757822400000,1757849579999,TP,42.411650245568296
ARK,2025-11-11,50,50,9,1762833600000,1762838939999,SL,-131.71874932383028
ARK,2025-12-28,50,50,7,1766894400000,1766947979999,TP,59.07218679052399
ATH,2025-05-02,50,50,14,1746158400000,1746280800000,TIME,59.75694881964451
AUCTION,2025-05-10,50,50,11,1746849600000,1746972000000,TIME,45.23817565086654
AXS,2025-05-14,47,50,9,1747195200000,1747285859999,TP,67.00949622410145
AXS,2025-08-31,50,50,22,1756612800000,1756735200000,TIME,109.69406543182254
BIGTIME,2025-03-18,50,50,6,1742270400000,1742278619999,TP,31.515295301144395
BIGTIME,2025-06-24,50,50,13,1750737600000,1750753139999,TP,28.498548443735892
BIGTIME,2025-07-27,50,50,12,1753588800000,1753708439999,TP,76.16092231124327
BIGTIME,2025-08-29,50,50,23,1756440000000,1756456199999,TP,71.1478404570409
BIGTIME,2025-12-29,50,50,13,1766980800000,1767010079999,TP,48.85863612741247
BSV,2025-05-22,50,50,8,1747886400000,1748002619999,TP,64.21885763477775
BSV,2025-06-17,50,50,9,1750132800000,1750230539999,TP,57.42847968943903
BSV,2025-07-05,44,50,6,1751688000000,1751739719999,TP,39.56198405405156
BSV,2025-08-24,50,50,6,1756008000000,1756130400000,TIME,26.322066218561364
CARV,2025-11-28,50,50,12,1764302400000,1764310619999,TP,26.165563651391036
CKB,2025-02-28,50,50,44,1740715200000,1740837600000,TIME,56.517819628807075
CKB,2025-04-13,50,50,21,1744516800000,1744573199999,TP,40.21930520190664
CKB,2025-07-26,50,50,25,1753502400000,1753512299999,SL,-130.85199999999998
CKB,2025-08-27,50,50,16,1756267200000,1756325099999,TP,131.62791198251074
CKB,2025-12-02,50,50,37,1764648000000,1764770400000,TIME,-50.330912188968234
COW,2025-04-26,50,50,6,1745640000000,1745667779999,TP,45.24442444540438
CVC,2025-02-11,50,50,9,1739246400000,1739368800000,TIME,-1.4007003501749473
CYBER,2025-11-20,50,50,23,1763611200000,1763683559999,TP,115.81234651958215
CYBER,2025-11-27,50,50,20,1764216000000,1764338400000,TIME,10.82680613163725
CYBER,2025-11-29,44,50,27,1764388800000,1764511200000,TIME,-51.65294916950984
CYBER,2025-12-11,50,50,9,1765425600000,1765442399999,TP,29.21441696309967
DEEP,2025-07-14,50,50,5,1752465600000,1752588000000,TIME,-27.9169607810254
DEEP,2025-11-07,50,50,10,1762488000000,1762514639999,TP,38.36126052846104
DOOD,2025-12-07,50,50,17,1765080000000,1765117439999,TP,111.88798804042338
EGLD,2025-04-25,50,50,19,1745553600000,1745676000000,TIME,50.531855232959245
EGLD,2025-05-09,50,50,21,1746763200000,1746885600000,TIME,46.85827569611884
EGLD,2025-12-05,47,50,17,1764907200000,1764946979999,SL,-132.96763380990348
ERA,2025-10-12,50,23,22,1760241600000,1760283119999,SL,-130.77732100378927
