symbol,token,date,vp,gp,pp,start_price,entry_price,exit_price,sl_price,tp_price,actual_growth,exit_reason,exit_ms,gross_ret,funding_ret,funding_events,net_ret,net_ret_usdt
0GUSDT,0G,2025-10-01,31,32,25,2.5159,2.7301,2.5471,3.085013,2.53732,0.08513851901903902,TIME_EXIT,1759413600000,0.06703051170286813,-0.022069329999999998,34,0.04416118170286813,44.161181702868134
0GUSDT,0G,2025-10-06,39,40,10,2.8769,3.0536,2.89457,3.4505679999999996,2.89457,0.061420278772289505,TP,1759825319999,0.05207951270631386,-0.010355359999999997,29,0.04092415270631386,40.92415270631386
0GUSDT,0G,2025-10-21,40,40,17,1.9373,2.1122,1.95479,2.386786,1.95479,0.09028028699736756,TP,1761051599999,0.0745241927847742,-0.01686528,9,0.0568589127847742,56.858912784774205
0GUSDT,0G,2025-11-08,40,40,21,1.103,1.2844,1.4513719999999999,1.4513719999999999,1.12114,0.16446056210335458,SL,1762581839999,-0.12999999999999992,-0.00900295,3,-0.13980294999999993,-139.80294999999992
0GUSDT,0G,2025-12-25,40,40,9,0.8001,0.8526,0.9634379999999999,0.9634379999999999,0.80535,0.06561679790026242,SL,1766662739999,-0.12999999999999987,-0.00437629,2,-0.13517628999999987,-135.17628999999985
0GUSDT,0G,2026-02-12,40,40,14,0.5621,0.6189,0.6993569999999999,0.6993569999999999,0.5677800000000001,0.10104963529621047,SL,1770876959999,-0.1299999999999998,-0.00584841,1,-0.1366484099999998,-136.6484099999998
0GUSDT,0G,2026-02-20,40,23,6,0.6149,0.649,0.6787,0.73337,0.61831,0.05545617173524153,TIME_EXIT,1771682400000,-0.0457627118644067,-0.01395971,9,-0.0605224218644067,-60.5224218644067
0GUSDT,0G,2026-04-08,40,29,4,0.5281,0.5476,0.53005,0.6187879999999999,0.53005,0.03692482484377946,TP,1775689259999,0.03204894083272453,-0.00237738,5,0.028871560832724533,28.871560832724533
AERGOUSDT,AERGO,2025-06-10,40,40,5,0.11706,0.12158,0.11751199999999999,0.1373854,0.11751199999999999,0.038612677259525,TP,1749606899999,0.033459450567527575,-0.00198588,6,0.030673570567527574,30.673570567527573
AERGOUSDT,AERGO,2025-06-12,38,23,5,0.11527,0.11959,0.115702,0.1351367,0.115702,0.03747722737919679,TP,1749760679999,0.03251107952169916,-0.008309990000000001,5,0.023401089521699156,23.401089521699156
AERGOUSDT,AERGO,2025-09-08,40,40,6,0.10764,0.11124,0.1111,0.12570119999999999,0.108,0.03344481605351168,TIME_EXIT,1757426400000,0.001258540093491561,0.00082115,9,0.0012796900934915608,1.279690093491561
AERGOUSDT,AERGO,2026-01-01,36,23,6,0.0552,0.06072,0.0686136,0.0686136,0.055751999999999996,0.10000000000000009,SL,1767255659999,-0.1299999999999999,-0.00669027,2,-0.1374902699999999,-137.4902699999999
AERGOUSDT,AERGO,2026-01-04,33,23,6,0.06374,0.06666,0.064032,0.07532579999999998,0.064032,0.0458111076247254,TP,1767587519999,0.0394239423942393,-0.00243623,7,0.0361877123942393,36.1877123942393
AERGOUSDT,AERGO,2026-01-21,40,40,13,0.05768,0.06676,0.0625,0.07543879999999999,0.058588,0.1574202496532593,TIME_EXIT,1769090400000,0.06381066506890354,-0.021024869999999998,9,0.04198579506890354,41.98579506890354
AGLDUSDT,AGLD,2026-02-21,40,40,6,0.2181,0.2346,0.265098,0.265098,0.21975,0.07565337001375516,SL,1771682819999,-0.12999999999999998,-0.00027396,1,-0.13107395999999996,-131.07395999999997
AKTUSDT,AKT,2025-06-03,40,40,9,1.313,1.367,1.335,1.5447099999999998,1.3184,0.041127189642041095,TIME_EXIT,1749045600000,0.023408924652523797,0.00045000000000000004,9,0.023058924652523797,23.058924652523796
AKTUSDT,AKT,2025-07-13,40,40,22,1.307,1.354,1.3116999999999999,1.53002,1.3116999999999999,0.03596021423106355,TP,1752451319999,0.03124076809453488,-0.00037188999999999994,6,0.03006887809453488,30.06887809453488
AKTUSDT,AKT,2025-08-14,40,40,5,1.349,1.435,1.3576,1.6215499999999998,1.3576,0.06375092661230553,TP,1755174899999,0.05393728222996525,0.00018889999999999998,3,0.05332618222996525,53.32618222996525
AKTUSDT,AKT,2026-01-27,40,40,25,0.4424,0.4796,0.44612,0.541948,0.44612,0.08408679927667273,TP,1769572619999,0.06980817347789826,-0.00974922,6,0.059258953477898266,59.25895347789827
AKTUSDT,AKT,2026-02-20,40,40,18,0.309,0.3535,0.3218,0.39945499999999995,0.31345,0.14401294498381878,TIME_EXIT,1771682400000,0.08967468175388969,-0.006394609999999999,9,0.0824800717538897,82.4800717538897
