period,s_entry,s_exit,s_stop,n_trades,expectancy,ci_low,win_rate,pf,ann_return_pct,mdd_pct
IS_2026,0.05,0.05,0.05,180,27.03,14.96,77.2,2.37,117.63,2.56
IS_2026,0.05,0.05,0.1,180,26.97,14.86,77.2,2.36,117.34,2.57
IS_2026,0.05,0.05,0.2,180,26.84,14.88,77.2,2.35,116.77,2.59
IS_2026,0.05,0.05,0.3,180,26.7,14.51,77.2,2.33,116.19,2.61
IS_2026,0.05,0.05,0.5,180,26.44,15.03,77.2,2.3,115.04,2.65
IS_2026,0.05,0.05,0.75,180,26.11,14.76,77.2,2.26,113.61,2.7
IS_2026,0.05,0.05,1.0,180,25.78,12.91,77.2,2.23,112.17,2.75
IS_2026,0.05,0.1,0.05,180,26.85,15.77,77.2,2.36,116.81,2.57
IS_2026,0.05,0.1,0.1,180,26.78,15.19,77.2,2.35,116.52,2.57
IS_2026,0.05,0.1,0.2,180,26.65,16.05,77.2,2.33,115.95,2.59
IS_2026,0.05,0.1,0.3,180,26.52,13.2,77.2,2.32,115.38,2.61
IS_2026,0.05,0.1,0.5,180,26.25,13.05,77.2,2.29,114.23,2.65
IS_2026,0.05,0.1,0.75,180,25.92,13.77,77.2,2.25,112.79,2.7
IS_2026,0.05,0.1,1.0,180,25.59,13.28,77.2,2.22,111.36,2.75
IS_2026,0.05,0.15,0.05,180,26.66,15.07,77.2,2.34,116.0,2.57
IS_2026,0.05,0.15,0.1,180,26.59,14.53,77.2,2.34,115.71,2.58
IS_2026,0.05,0.15,0.2,180,26.46,14.82,77.2,2.32,115.13,2.6
IS_2026,0.05,0.15,0.3,180,26.33,13.97,77.2,2.3,114.56,2.62
IS_2026,0.05,0.15,0.5,180,26.07,12.74,77.2,2.28,113.41,2.66
IS_2026,0.05,0.15,0.75,180,25.74,12.84,77.2,2.24,111.98,2.71
IS_2026,0.05,0.15,1.0,180,25.41,12.72,77.2,2.2,110.54,2.76
IS_2026,0.05,0.2,0.05,180,26.47,14.15,76.7,2.33,115.18,2.58
IS_2026,0.05,0.2,0.1,180,26.41,14.33,76.7,2.32,114.89,2.59
IS_2026,0.05,0.2,0.2,180,26.27,14.19,76.7,2.31,114.32,2.61
IS_2026,0.05,0.2,0.3,180,26.14,14.69,76.7,2.29,113.75,2.63
IS_2026,0.05,0.2,0.5,180,25.88,14.05,76.7,2.26,112.6,2.67
IS_2026,0.05,0.2,0.75,180,25.55,13.81,76.7,2.23,111.16,2.72
IS_2026,0.05,0.2,1.0,180,25.22,12.62,76.7,2.19,109.73,2.77
IS_2026,0.05,0.3,0.05,180,26.1,14.32,76.7,2.3,113.55,2.59
IS_2026,0.05,0.3,0.1,180,26.03,13.89,76.7,2.3,113.26,2.6
IS_2026,0.05,0.3,0.2,180,25.9,15.02,76.7,2.28,112.69,2.62
IS_2026,0.05,0.3,0.3,180,25.77,13.68,76.7,2.27,112.12,2.64
IS_2026,0.05,0.3,0.5,180,25.5,13.36,76.7,2.24,110.97,2.68
IS_2026,0.05,0.3,0.75,180,25.17,11.99,76.7,2.2,109.53,2.73
IS_2026,0.05,0.3,1.0,180,24.84,13.28,76.7,2.17,108.1,2.78
IS_2026,0.1,0.05,0.05,180,26.19,13.9,77.2,2.32,113.95,2.58
IS_2026,0.1,0.05,0.1,180,26.12,14.6,77.2,2.32,113.67,2.59
IS_2026,0.1,0.05,0.2,180,25.99,14.12,77.2,2.3,113.09,2.61
IS_2026,0.1,0.05,0.3,180,25.86,14.8,77.2,2.29,112.52,2.63
IS_2026,0.1,0.05,0.5,180,25.6,13.71,77.2,2.26,111.37,2.67
IS_2026,0.1,0.05,0.75,180,25.27,13.38,77.2,2.22,109.94,2.72
IS_2026,0.1,0.05,1.0,180,24.94,12.93,77.2,2.18,108.5,2.77
IS_2026,0.1,0.1,0.05,180,26.0,14.59,77.2,2.31,113.13,2.59
IS_2026,0.1,0.1,0.1,180,25.93,13.71,77.2,2.3,112.84,2.6
IS_2026,0.1,0.1,0.2,180,25.8,14.47,77.2,2.29,112.27,2.62
IS_2026,0.1,0.1,0.3,180,25.67,13.92,77.2,2.27,111.69,2.64
IS_2026,0.1,0.1,0.5,180,25.41,12.62,77.2,2.24,110.54,2.68
IS_2026,0.1,0.1,0.75,180,25.08,13.06,77.2,2.21,109.11,2.73
IS_2026,0.1,0.1,1.0,180,24.75,12.35,77.2,2.17,107.67,2.78
IS_2026,0.1,0.15,0.05,180,25.81,13.88,76.7,2.3,112.3,2.6
IS_2026,0.1,0.15,0.1,180,25.74,13.55,76.7,2.29,112.01,2.61
IS_2026,0.1,0.15,0.2,180,25.61,13.0,76.7,2.27,111.44,2.63
IS_2026,0.1,0.15,0.3,180,25.48,13.28,76.7,2.26,110.86,2.65
IS_2026,0.1,0.15,0.5,180,25.22,13.33,76.7,2.23,109.72,2.69
IS_2026,0.1,0.15,0.75,180,24.89,12.26,76.7,2.19,108.28,2.74
IS_2026,0.1,0.15,1.0,180,24.56,12.59,76.7,2.16,106.85,2.79
IS_2026,0.1,0.2,0.05,180,25.62,13.54,76.7,2.28,111.47,2.6
IS_2026,0.1,0.2,0.1,180,25.55,13.75,76.7,2.28,111.19,2.61
IS_2026,0.1,0.2,0.2,180,25.42,12.63,76.7,2.26,110.61,2.63
IS_2026,0.1,0.2,0.3,180,25.29,14.15,76.7,2.25,110.04,2.65
IS_2026,0.1,0.2,0.5,180,25.03,13.03,76.7,2.22,108.89,2.69
IS_2026,0.1,0.2,0.75,180,24.7,12.52,76.7,2.18,107.46,2.74
IS_2026,0.1,0.2,1.0,180,24.37,12.54,76.7,2.15,106.02,2.79
IS_2026,0.1,0.3,0.05,180,25.24,13.32,76.7,2.26,109.82,2.62
IS_2026,0.1,0.3,0.1,180,25.17,12.7,76.7,2.25,109.53,2.63
IS_2026,0.1,0.3,0.2,180,25.04,14.03,76.7,2.23,108.96,2.65
IS_2026,0.1,0.3,0.3,180,24.91,13.05,76.7,2.22,108.38,2.67
IS_2026,0.1,0.3,0.5,180,24.65,13.05,76.7,2.19,107.24,2.71
IS_2026,0.1,0.3,0.75,180,24.32,10.93,76.7,2.16,105.8,2.76
IS_2026,0.1,0.3,1.0,180,23.99,11.46,76.7,2.12,104.37,2.81
IS_2026,0.15,0.05,0.05,180,25.75,14.29,77.2,2.3,112.04,2.59
IS_2026,0.15,0.05,0.1,180,25.68,14.09,77.2,2.29,111.75,2.6
IS_2026,0.15,0.05,0.2,180,25.55,13.03,77.2,2.27,111.18,2.62
IS_2026,0.15,0.05,0.3,180,25.42,13.77,77.2,2.26,110.61,2.64
IS_2026,0.15,0.05,0.5,180,25.16,14.09,77.2,2.23,109.46,2.68
IS_2026,0.15,0.05,0.75,180,24.83,12.72,77.2,2.2,108.02,2.73
IS_2026,0.15,0.05,1.0,180,24.5,12.17,77.2,2.16,106.59,2.78
IS_2026,0.15,0.1,0.05,180,25.56,14.7,76.7,2.28,111.2,2.6
IS_2026,0.15,0.1,0.1,180,25.49,13.01,76.7,2.28,110.91,2.61
IS_2026,0.15,0.1,0.2,180,25.36,12.96,76.7,2.26,110.34,2.63
IS_2026,0.15,0.1,0.3,180,25.23,14.2,76.7,2.25,109.77,2.65
IS_2026,0.15,0.1,0.5,180,24.96,12.74,76.7,2.22,108.62,2.69
IS_2026,0.15,0.1,0.75,180,24.63,13.32,76.7,2.18,107.18,2.74
IS_2026,0.15,0.1,1.0,180,24.3,11.56,76.7,2.15,105.75,2.79
IS_2026,0.15,0.15,0.05,180,25.36,13.25,76.7,2.27,110.36,2.61
