symbol,date,vp,gp,pp,entry_price,exit_price,exit_reason,funding_ret,funding_events,net_ret_usdt
0GUSDT,2025-10-01,31,33,25,2.7301,2.5471,TIME_EXIT,-0.02181372164206439,34,44.41679006080374
0GUSDT,2025-10-06,39,47,10,3.0536,2.89457,TP,-0.010317316066937386,29,40.96219663937647
0GUSDT,2025-10-21,50,50,17,2.1122,1.95479,TP,-0.01611101775400057,9,57.61317503077363
0GUSDT,2025-11-08,48,50,21,1.2844,1.4513719999999999,SL,-0.009301472080348802,3,-140.10147208034874
0GUSDT,2025-12-25,50,50,9,0.8526,0.9634379999999999,SL,-0.001788958207834858,1,-132.58895820783474
0GUSDT,2026-02-12,40,50,14,0.6189,0.6993569999999999,SL,0.0,0,-130.7999999999998
0GUSDT,2026-02-20,47,37,6,0.649,0.6787,TIME_EXIT,-0.014756105559322037,9,-61.31881742372874
0GUSDT,2026-04-08,50,50,4,0.5476,0.53005,TP,-0.0023542745891161434,5,28.89466624360839
AERGOUSDT,2025-06-10,41,50,5,0.12158,0.11751199999999999,TP,-0.0014884893025168613,5,31.17096126501071
AERGOUSDT,2025-06-12,38,47,5,0.11959,0.115702,TP,-0.003938267427042395,4,27.772812094656764
AERGOUSDT,2025-07-19,32,50,5,0.13548,0.14262,TIME_EXIT,-0.0019472836876291706,8,-55.44878944493659
AERGOUSDT,2025-09-08,50,50,6,0.11124,0.1111,TIME_EXIT,0.0008218119183746853,9,1.2803520118662461
AERGOUSDT,2026-01-01,36,50,6,0.06072,0.0686136,SL,-0.005671564772727272,1,-136.47156477272716
AERGOUSDT,2026-01-04,33,47,6,0.06666,0.064032,TP,-0.0020126982193219324,6,36.61124417491736
AERGOUSDT,2026-01-21,50,50,13,0.06676,0.0625,TIME_EXIT,-0.02101235711803475,9,41.99830795086879
AEROUSDT,2026-01-14,41,50,5,0.613,0.59221,TP,0.00010382799184339314,6,33.218999280587234
AGLDUSDT,2025-08-29,44,50,3,0.759,0.71445,TP,0.0,0,57.895652173913014
AGLDUSDT,2026-02-21,50,50,6,0.2346,0.265098,SL,-0.0002696392327365729,1,-131.06963923273653
AKTUSDT,2025-06-03,50,50,9,1.367,1.335,TIME_EXIT,0.0004512070226773958,9,23.060131675201195
AKTUSDT,2025-07-13,50,50,22,1.354,1.3116999999999999,TP,-0.00037470403988183157,6,30.06606405465305
AKTUSDT,2025-08-14,49,50,5,1.435,1.3576,TP,0.00018757477351916376,3,53.32485700348441
AKTUSDT,2026-01-27,50,50,25,0.4796,0.44612,TP,-0.009631320836113427,6,59.37685264178484
AKTUSDT,2026-02-20,50,50,18,0.3535,0.3218,TIME_EXIT,-0.005930948036775106,9,82.9437337171146
ALTUSDT,2026-02-12,48,50,3,0.00879,0.008502,TP,0.00011412617747440274,3,32.078631296928336
ANIMEUSDT,2025-12-20,50,50,16,0.005994,0.00677322,SL,-0.0025863774007340674,1,-133.386377400734
ANIMEUSDT,2026-03-13,50,50,5,0.004768,0.0046159,TP,-0.001458122411912752,6,29.64204537332207
ANIMEUSDT,2026-03-17,50,50,26,0.006432,0.005135,TIME_EXIT,-0.060471573866604476,35,140.37643608364434
ANIMEUSDT,2026-03-21,50,47,10,0.005144,0.005079,TIME_EXIT,-0.013820500746500777,9,-1.984419875583213
ANKRUSDT,2026-03-06,50,50,23,0.004785,0.004346,TIME_EXIT,-0.01629964601044932,4,74.64539056217349
ANKRUSDT,2026-03-18,50,50,28,0.005691,0.004818899999999999,TP,-0.043147679616939036,17,109.29428137409957
ANKRUSDT,2026-03-21,50,50,19,0.006017,0.005511,TIME_EXIT,-0.02396208916569719,9,59.33297481967751
ANKRUSDT,2026-04-04,42,43,5,0.005201,0.005178,TIME_EXIT,-0.0035867786329552005,9,0.035447861949545675
ANKRUSDT,2026-05-06,50,50,8,0.005274,0.0049941000000000004,TP,0.0,0,52.27167235494873
API3USDT,2025-10-13,45,50,13,0.7532,0.72917,TP,0.0,0,31.103876792352626
API3USDT,2025-12-21,50,50,21,0.4649,0.4163,TP,-0.007722799711765972,3,96.01581074209503
API3USDT,2025-12-26,50,50,17,0.4668,0.4642,TIME_EXIT,-0.001386990792630677,9,3.3828463967437687
API3USDT,2026-01-02,50,50,12,0.4651,0.4647,TIME_EXIT,-0.0005515586906041711,8,-0.4915285895506097
API3USDT,2026-02-07,50,50,46,0.369,0.31932000000000005,TP,-0.033224135457994575,7,100.61001088346872
API3USDT,2026-02-26,50,50,16,0.3128,0.29903,TP,-0.000628039044117647,1,42.59370008631715
API3USDT,2026-04-25,50,50,33,0.4882,0.37021,TP,-0.015208573455551003,3,225.67516271814836
API3USDT,2026-05-01,38,40,9,0.3814,0.37105,TP,-0.003442112692711065,1,22.894751491872118
ARKUSDT,2025-07-20,50,50,14,0.538,0.5034,TIME_EXIT,-0.009900820929368028,9,53.61144672862467
ARKUSDT,2025-09-14,50,50,9,0.4996,0.47665,TP,-0.0018325028522818256,2,43.304246547237724
